Park Name,State,Acres,Latitude,Longitude
Acadia National Park,me,47390,44.35,-68.21
Arches National Park,ut,76519,38.68,-109.57
Badlands National Park,sd,242756,43.75,-102.5
Big Bend National Park,tx,801163,29.25,-103.25
Biscayne National Park,fl,172924,25.65,-80.08
Black Canyon of the Gunnison National Park,co,32950,38.57,-107.72
Bryce Canyon National Park,ut,35835,37.57,-112.18
Canyonlands National Park,ut,337598,38.2,-109.93
Capitol Reef National Park,ut,241904,38.2,-111.17
Carlsbad Caverns National Park,nm,46766,32.17,-104.44
Channel Islands National Park,ca,249561,34.01,-119.42
Congaree National Park,sc,26546,33.78,-80.78
Crater Lake National Park,or,183224,42.94,-122.1
Cuyahoga Valley National Park,oh,32950,41.24,-81.55
Denali National Park and Preserve,ak,3372402,63.33,-150.5
Death Valley National Park,"ca, nv",4740912,36.24,-116.82
Dry Tortugas National Park,fl,64701,24.63,-82.87
Everglades National Park,fl,1508538,25.32,-80.93
Gates Of The Arctic National Park and Preserve,ak,7523898,67.78,-153.3
Glacier National Park,mt,1013572,48.8,-114
Glacier Bay National Park and Preserve,ak,3224840,58.5,-137
Great Basin National Park,nv,77180,38.98,-114.3
Grand Canyon National Park,az,1217403,36.06,-112.14
Great Sand Dunes National Park and Preserve,co,42984,37.73,-105.51
Great Smoky Mountains National Park,"tn, nc",521490,35.68,-83.53
Grand Teton National Park,wy,309995,43.73,-110.8
Guadalupe Mountains National Park,tx,86416,31.92,-104.87
Haleakala National Park,hi,29094,20.72,-156.17
Hawaii Volcanoes National Park,hi,323431,19.38,-155.2
Hot Springs National Park,ar,5550,34.51,-93.05
Isle Royale National Park,mi,571790,48.1,-88.55
Joshua Tree National Park,ca,789745,33.79,-115.9
Katmai National Park and Preserve,ak,3674530,58.5,-155
Kenai Fjords National Park,ak,669983,59.92,-149.65
Kobuk Valley National Park,ak,1750717,67.55,-159.28
Lake Clark National Park and Preserve,ak,2619733,60.97,-153.42
Lassen Volcanic National Park,ca,106372,40.49,-121.51
Mammoth Cave National Park,ky,52830,37.18,-86.1
Mesa Verde National Park,co,52122,37.18,-108.49
Mount Rainier National Park,wa,235625,46.85,-121.75
North Cascades National Park,wa,504781,48.7,-121.2
Olympic National Park,wa,922651,47.97,-123.5
Petrified Forest National Park,az,93533,35.07,-109.78
Pinnacles National Park,ca,26606,36.48,-121.16
Redwood National Park,ca,112512,41.3,-124
Rocky Mountain National Park,co,265828,40.4,-105.58
Saguaro National Park,az,91440,32.25,-110.5
Sequoia and Kings Canyon National Parks,ca,865952,36.43,-118.68
Shenandoah National Park,va,199045,38.53,-78.35
Theodore Roosevelt National Park,nd,70447,46.97,-103.45
Voyageurs National Park,mn,218200,48.5,-92.88
Wind Cave National Park,sd,28295,43.57,-103.48
Wrangell - St Elias National Park and Preserve,ak,8323148,61,-142
Yellowstone National Park,"wy, mt, id",2219791,44.6,-110.5
Yosemite National Park,ca,761266,37.83,-119.5
Zion National Park,ut,146598,37.3,-113.05
